1,3122
2,2823
3,2456
4,2187
5,1863
6,1704
7,1486
8,1250
9,1180
10,1028
11,902
12,792
13,648
14,639
15,550
16,484
17,395
18,367
19,377
20,318
21,246
22,212
23,187
24,187
25,173
26,162
27,132
28,106
29,107
30,97
