Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	840
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	840	28	1	04/27/26 12:55:57 PM	
131	840	18	1	04/27/26 12:55:58 PM	
132	840	27	1	04/27/26 12:55:59 PM	
133	840	25	1	04/27/26 12:56:01 PM	
134	840	18	1	04/27/26 12:56:02 PM	
135	840	23	1	04/27/26 12:56:03 PM	
136	840	36	1	04/27/26 12:56:04 PM	
137	840	27	1	04/27/26 12:56:05 PM	
138	840	33	1	04/27/26 12:56:07 PM	
139	840	27	1	04/27/26 12:56:08 PM	
140	840	31	1	04/27/26 12:56:09 PM	
141	840	28	1	04/27/26 12:56:10 PM	
142	840	27	1	04/27/26 12:56:11 PM	
143	840	25	1	04/27/26 12:56:13 PM	
144	840	26	1	04/27/26 12:56:14 PM	
145	840	21	1	04/27/26 12:56:15 PM	
146	840	25	1	04/27/26 12:56:16 PM	
147	840	29	1	04/27/26 12:56:17 PM	
148	840	20	1	04/27/26 12:56:19 PM	
149	840	24	1	04/27/26 12:56:20 PM	
150	840	21	1	04/27/26 12:56:21 PM	
151	840	34	1	04/27/26 12:56:22 PM	
152	840	28	1	04/27/26 12:56:23 PM	
153	840	27	1	04/27/26 12:56:25 PM	
154	840	32	1	04/27/26 12:56:26 PM	
155	840	25	1	04/27/26 12:56:27 PM	
156	840	17	1	04/27/26 12:56:28 PM	
157	840	19	1	04/27/26 12:56:29 PM	
158	840	21	1	04/27/26 12:56:31 PM	
159	840	22	1	04/27/26 12:56:32 PM	
160	840	30	1	04/27/26 12:56:33 PM	
161	840	27	1	04/27/26 12:56:34 PM	
162	840	25	1	04/27/26 12:56:35 PM	
163	840	30	1	04/27/26 12:56:36 PM	
164	840	20	1	04/27/26 12:56:38 PM	
165	840	28	1	04/27/26 12:56:39 PM	
166	840	19	1	04/27/26 12:56:40 PM	
167	840	29	1	04/27/26 12:56:41 PM	
168	840	18	1	04/27/26 12:56:42 PM	
169	840	20	1	04/27/26 12:56:44 PM	
170	840	28	1	04/27/26 12:56:45 PM	
171	840	24	1	04/27/26 12:56:46 PM	
172	840	27	1	04/27/26 12:56:47 PM	
173	840	27	1	04/27/26 12:56:48 PM	
174	840	13	1	04/27/26 12:56:50 PM	
175	840	33	1	04/27/26 12:56:51 PM	
176	840	20	1	04/27/26 12:56:52 PM	
177	840	30	1	04/27/26 12:56:53 PM	
178	840	26	1	04/27/26 12:56:54 PM	
179	840	17	1	04/27/26 12:56:56 PM	
180	840	27	1	04/27/26 12:56:57 PM	
181	840	24	1	04/27/26 12:56:58 PM	
182	840	21	1	04/27/26 12:56:59 PM	
183	840	24	1	04/27/26 12:57:00 PM	
184	840	28	1	04/27/26 12:57:02 PM	
185	840	22	1	04/27/26 12:57:03 PM	
186	840	29	1	04/27/26 12:57:04 PM	
187	840	15	1	04/27/26 12:57:05 PM	
188	840	34	1	04/27/26 12:57:06 PM	
189	840	30	1	04/27/26 12:57:07 PM	
190	840	27	1	04/27/26 12:57:09 PM	
191	840	20	1	04/27/26 12:57:10 PM	
192	840	17	1	04/27/26 12:57:11 PM	
193	840	24	1	04/27/26 12:57:12 PM	
194	840	30	1	04/27/26 12:57:14 PM	
195	840	20	1	04/27/26 12:57:15 PM	
196	840	22	1	04/27/26 12:57:16 PM	
197	840	25	1	04/27/26 12:57:17 PM	
198	840	23	1	04/27/26 12:57:18 PM	
199	840	18	1	04/27/26 12:57:19 PM	
200	840	24	1	04/27/26 12:57:21 PM	
201	840	30	1	04/27/26 12:57:22 PM	
202	840	26	1	04/27/26 12:57:23 PM	
203	840	31	1	04/27/26 12:57:24 PM	
204	840	22	1	04/27/26 12:57:25 PM	
205	840	20	1	04/27/26 12:57:26 PM	
206	840	24	1	04/27/26 12:57:28 PM	
207	840	22	1	04/27/26 12:57:29 PM	
208	840	29	1	04/27/26 12:57:30 PM	
209	840	26	1	04/27/26 12:57:31 PM	
210	840	24	1	04/27/26 12:57:32 PM	
211	840	30	1	04/27/26 12:57:33 PM	
212	840	32	1	04/27/26 12:57:35 PM	
213	840	31	1	04/27/26 12:57:36 PM	
214	840	25	1	04/27/26 12:57:37 PM	
215	840	22	1	04/27/26 12:57:38 PM	
216	840	22	1	04/27/26 12:57:39 PM	
217	840	22	1	04/27/26 12:57:41 PM	
218	840	29	1	04/27/26 12:57:42 PM	
219	840	29	1	04/27/26 12:57:43 PM	
220	840	26	1	04/27/26 12:57:44 PM	
221	840	27	1	04/27/26 12:57:45 PM	
222	840	38	1	04/27/26 12:57:46 PM	
223	840	25	1	04/27/26 12:57:48 PM	
224	840	24	1	04/27/26 12:57:49 PM	
225	840	19	1	04/27/26 12:57:50 PM	
226	840	25	1	04/27/26 12:57:51 PM	
227	840	27	1	04/27/26 12:57:52 PM	
228	840	22	1	04/27/26 12:57:54 PM	
229	840	16	1	04/27/26 12:57:55 PM	
230	840	26	1	04/27/26 12:57:56 PM	
231	840	20	1	04/27/26 12:57:57 PM	
232	840	23	1	04/27/26 12:57:58 PM	
233	840	29	1	04/27/26 12:58:00 PM	
234	840	22	1	04/27/26 12:58:01 PM	
235	840	21	1	04/27/26 12:58:02 PM	
236	840	33	1	04/27/26 12:58:03 PM	
237	840	19	1	04/27/26 12:58:04 PM	
238	840	23	1	04/27/26 12:58:06 PM	
239	840	29	1	04/27/26 12:58:07 PM	
240	840	21	1	04/27/26 12:58:08 PM	
241	840	28	1	04/27/26 12:58:09 PM	
242	840	29	1	04/27/26 12:58:10 PM	
243	840	25	1	04/27/26 12:58:12 PM	
244	840	23	1	04/27/26 12:58:13 PM	
245	840	27	1	04/27/26 12:58:14 PM	
246	840	24	1	04/27/26 12:58:15 PM	
247	840	24	1	04/27/26 12:58:16 PM	
248	840	29	1	04/27/26 12:58:17 PM	
249	840	17	1	04/27/26 12:58:19 PM	
250	840	19	1	04/27/26 12:58:20 PM	
251	840	29	1	04/27/26 12:58:21 PM	
252	840	24	1	04/27/26 12:58:22 PM	
253	840	28	1	04/27/26 12:58:23 PM	
254	840	29	1	04/27/26 12:58:25 PM	
255	840	25	1	04/27/26 12:58:26 PM	
256	840	25	1	04/27/26 12:58:27 PM	
257	840	21	1	04/27/26 12:58:28 PM	
258	840	23	1	04/27/26 12:58:29 PM	
259	840	21	1	04/27/26 12:58:31 PM	
260	840	23	1	04/27/26 12:58:32 PM	
261	840	20	1	04/27/26 12:58:33 PM	
262	840	26	1	04/27/26 12:58:34 PM	
263	840	29	1	04/27/26 12:58:35 PM	
264	840	22	1	04/27/26 12:58:37 PM	
265	840	28	1	04/27/26 12:58:38 PM	
266	840	28	1	04/27/26 12:58:39 PM	
267	840	23	1	04/27/26 12:58:40 PM	
268	840	31	1	04/27/26 12:58:41 PM	
269	840	29	1	04/27/26 12:58:43 PM	
270	840	19	1	04/27/26 12:58:44 PM	
271	840	22	1	04/27/26 12:58:45 PM	
272	840	31	1	04/27/26 12:58:46 PM	
273	840	24	1	04/27/26 12:58:47 PM	
274	840	30	1	04/27/26 12:58:48 PM	
275	840	26	1	04/27/26 12:58:50 PM	
276	840	25	1	04/27/26 12:58:51 PM	
277	840	18	1	04/27/26 12:58:52 PM	
278	840	25	1	04/27/26 12:58:53 PM	
279	840	25	1	04/27/26 12:58:54 PM	
280	840	26	1	04/27/26 12:58:56 PM	
281	840	24	1	04/27/26 12:58:57 PM	
282	840	25	1	04/27/26 12:58:58 PM	
283	840	16	1	04/27/26 12:58:59 PM	
284	840	29	1	04/27/26 12:59:00 PM	
285	840	24	1	04/27/26 12:59:01 PM	
286	840	18	1	04/27/26 12:59:03 PM	
287	840	22	1	04/27/26 12:59:04 PM	
288	840	23	1	04/27/26 12:59:05 PM	
289	840	22	1	04/27/26 12:59:06 PM	
290	840	18	1	04/27/26 12:59:07 PM	
291	840	17	1	04/27/26 12:59:09 PM	
292	840	29	1	04/27/26 12:59:10 PM	
293	840	27	1	04/27/26 12:59:11 PM	
294	840	27	1	04/27/26 12:59:12 PM	
295	840	33	1	04/27/26 12:59:13 PM	
296	840	17	1	04/27/26 12:59:15 PM	
297	840	25	1	04/27/26 12:59:16 PM	
298	840	22	1	04/27/26 12:59:17 PM	
299	840	30	1	04/27/26 12:59:18 PM	
300	840	28	1	04/27/26 12:59:19 PM	
301	840	17	1	04/27/26 12:59:21 PM	
302	840	28	1	04/27/26 12:59:22 PM	
303	840	18	1	04/27/26 12:59:23 PM	
304	840	19	1	04/27/26 12:59:24 PM	
305	840	22	1	04/27/26 12:59:25 PM	
306	840	15	1	04/27/26 12:59:26 PM	
307	840	21	1	04/27/26 12:59:28 PM	
308	840	35	1	04/27/26 12:59:29 PM	
309	840	18	1	04/27/26 12:59:30 PM	
310	840	32	1	04/27/26 12:59:31 PM	
311	840	23	1	04/27/26 12:59:32 PM	
312	840	29	1	04/27/26 12:59:34 PM	
313	840	24	1	04/27/26 12:59:35 PM	
