1,31
2,22
3,31
4,23
5,24
6,24
7,31
8,24
9,24
10,25
11,31
12,22
13,23
14,26
15,22
16,25
17,28
18,26
19,30
20,28
21,25
22,22
23,24
24,19
25,20
26,29
27,35
28,23
29,22
30,25
31,28
32,30
33,22
34,21
35,35
36,24
37,16
38,31
39,25
40,29
41,23
42,24
43,25
44,31
45,31
46,25
47,32
48,17
49,31
50,24
51,27
52,15
53,24
54,29
55,27
56,24
57,22
58,17
59,21
60,18
61,32
62,17
63,20
64,22
65,29
66,27
67,18
68,19
69,21
70,23
71,23
72,16
73,25
74,23
75,29
76,21
77,14
78,28
79,19
80,34
81,22
82,23
83,17
84,33
85,16
86,26
87,24
88,22
89,27
90,30
91,24
92,30
93,21
94,20
95,24
96,19
97,30
98,31
99,16
100,34
101,24
102,21
103,22
104,25
105,21
106,31
107,25
108,23
109,31
110,19
111,25
112,27
113,24
114,24
115,30
116,34
117,16
118,18
119,24
120,16
121,29
122,33
123,27
124,20
125,22
126,31
127,24
128,27
129,30
130,28
131,18
132,27
133,25
134,18
135,23
136,36
137,27
138,33
139,27
140,31
141,28
142,27
143,25
144,26
145,21
146,25
147,29
148,20
149,24
150,21
151,34
152,28
153,27
154,32
155,25
156,17
157,19
158,21
159,22
160,30
161,27
162,25
163,30
164,20
165,28
166,19
167,29
168,18
169,20
170,28
171,24
172,27
173,27
174,13
175,33
176,20
177,30
178,26
179,17
180,27
181,24
182,21
183,24
184,28
185,22
186,29
187,15
188,34
189,30
190,27
191,20
192,17
193,24
194,30
195,20
196,22
197,25
198,23
199,18
200,24
201,30
202,26
203,31
204,22
205,20
206,24
207,22
208,29
209,26
210,24
211,30
212,32
213,31
214,25
215,22
216,22
217,22
218,29
219,29
220,26
221,27
222,38
223,25
224,24
225,19
226,25
227,27
228,22
229,16
230,26
231,20
232,23
233,29
234,22
235,21
236,33
237,19
238,23
239,29
240,21
241,28
242,29
243,25
244,23
245,27
246,24
247,24
248,29
249,17
250,19
251,29
252,24
253,28
254,29
255,25
256,25
257,21
258,23
259,21
260,23
261,20
262,26
263,29
264,22
265,28
266,28
267,23
268,31
269,29
270,19
271,22
272,31
273,24
274,30
275,26
276,25
277,18
278,25
279,25
280,26
281,24
282,25
283,16
284,29
285,24
286,18
287,22
288,23
289,22
290,18
291,17
292,29
293,27
294,27
295,33
296,17
297,25
298,22
299,30
300,28
301,17
302,28
303,18
304,19
305,22
306,15
307,21
308,35
309,18
310,32
311,23
312,29
313,24
314,32
315,21
316,33
317,26
318,26
319,27
320,27
321,21
322,31
323,20
324,33
325,21
326,23
327,25
328,23
329,26
330,20
331,32
332,39
333,25
334,21
335,18
336,29
337,22
338,32
339,26
340,21
341,25
342,22
343,29
344,23
345,21
346,26
347,21
348,15
349,23
350,26
351,24
352,26
353,24
354,22
355,22
356,28
357,21
358,23
359,18
360,23
361,27
362,27
363,20
364,29
365,19
366,13
367,26
368,23
369,31
370,25
371,31
372,21
373,19
374,30
375,15
376,21
377,26
378,28
379,31
380,21
381,25
382,23
383,17
384,29
385,27
386,26
387,30
388,28
389,20
390,26
391,24
392,23
393,21
394,30
395,29
396,24
397,20
398,18
399,24
400,21
401,17
402,27
403,25
404,21
405,19
406,19
407,22
408,35
409,22
410,32
411,23
412,18
413,27
414,16
415,22
416,25
417,23
418,23
419,12
420,32
421,21
422,14
423,26
424,26
425,29
426,27
427,24
428,13
429,26
430,20
431,16
432,20
433,33
434,28
435,24
436,20
437,18
438,27
439,24
440,26
441,26
442,24
443,19
444,22
445,21
446,22
447,18
448,24
449,20
450,18
451,29
452,19
453,25
454,26
455,18
456,19
457,22
458,29
459,27
460,23
461,21
462,24
463,26
464,27
465,15
466,25
467,20
468,26
469,28
470,37
471,25
472,23
473,26
474,35
475,29
476,23
477,19
478,28
479,24
480,22
481,24
482,22
483,24
484,17
485,17
486,24
487,21
488,15
489,19
490,15
491,30
492,19
493,25
494,21
495,23
496,22
497,27
498,38
499,16
500,15
501,23
502,17
503,23
504,32
505,29
506,18
507,24
508,22
509,26
510,17
511,26
512,23
513,27
514,21
515,22
516,14
517,26
518,25
519,25
520,27
521,23
522,22
523,25
524,17
525,27
526,16
527,22
528,20
529,18
530,16
531,19
532,16
533,18
534,23
535,19
536,27
537,28
538,21
539,28
540,24
541,29
542,21
543,26
544,26
545,26
546,23
547,27
548,18
549,16
550,18
551,27
552,33
553,28
554,28
555,25
556,24
557,29
558,30
559,21
560,20
561,20
562,26
563,23
564,17
565,35
566,26
567,19
568,27
569,18
570,24
571,25
572,19
573,21
574,28
575,20
576,20
577,26
578,24
579,29
580,37
581,22
582,23
583,33
584,18
585,14
586,16
587,26
588,30
589,21
590,20
591,12
592,15
593,21
594,29
595,26
596,14
597,24
598,26
599,24
600,19
601,21
602,28
603,32
604,21
605,22
606,28
607,17
608,27
609,21
610,21
611,30
612,24
613,26
614,27
615,17
616,20
617,15
618,20
619,22
620,29
621,19
622,33
623,22
624,21
625,33
626,22
627,23
628,24
629,27
630,26
631,24
632,33
633,26
634,27
635,30
636,21
637,20
638,31
639,24
640,32
641,21
642,17
643,31
644,24
645,32
646,21
647,29
648,33
649,24
650,23
651,21
652,31
653,26
654,20
655,34
656,27
657,20
658,24
659,22
660,18
661,25
662,36
663,25
664,20
665,25
666,23
667,24
668,27
669,21
670,21
671,20
672,29
673,22
674,28
675,23
676,20
677,22
678,31
679,11
680,27
681,28
682,22
683,25
684,29
685,34
686,29
687,21
688,29
689,30
690,22
691,29
692,32
693,22
694,29
695,30
696,26
697,29
698,24
699,18
700,26
701,27
702,26
703,33
704,30
705,29
706,23
707,30
708,20
709,21
710,23
711,26
712,28
713,20
714,31
715,18
716,22
717,22
718,23
719,27
720,29
721,15
722,34
723,25
724,26
725,25
726,26
727,28
728,29
729,33
730,19
731,26
732,26
733,27
734,21
735,29
736,18
737,34
738,20
739,28
740,22
741,27
742,26
743,33
744,25
745,21
746,34
747,22
748,28
749,23
750,28
