1,8
2,3
3,11
4,7
5,8
6,6
7,12
8,4
9,11
10,2
11,5
12,6
13,5
14,2
15,10
16,3
17,1
18,6
19,6
20,6
21,9
22,7
23,5
24,8
25,8
26,7
27,5
28,8
29,6
30,11
31,7
32,6
33,6
34,8
35,7
36,9
37,3
38,7
39,4
40,5
41,6
42,8
43,8
44,7
45,6
46,8
47,6
48,4
49,5
50,7
51,5
52,6
53,4
54,10
55,7
56,6
57,11
58,8
59,3
60,4
61,9
62,7
63,5
64,3
65,7
66,7
67,5
68,6
69,5
70,4
71,8
72,8
73,6
74,2
75,8
76,7
77,13
78,5
79,6
80,5
81,8
82,4
83,8
84,7
85,6
86,4
87,6
88,13
89,7
90,11
91,6
92,7
93,2
94,5
95,6
96,7
97,1
98,10
99,7
100,6
101,5
102,9
103,6
104,9
105,4
106,6
107,5
108,4
109,9
110,4
111,3
112,8
113,10
114,5
115,4
116,2
117,7
118,2
119,7
120,3
121,9
122,3
123,9
124,8
125,4
126,7
127,4
128,11
129,6
130,7
131,9
132,5
133,2
134,5
135,3
136,8
137,4
138,4
139,6
140,7
141,6
142,5
143,3
144,13
145,8
146,5
147,6
148,5
149,4
150,4
